id,Country Name,1990,1995,2000,2005,2010,2015
SRB,Serbia,-1745.0,-86120.0,-146748.0,-189989.0,-109681.0,-3296.0
SUR,Suriname,-6620.0,-817.0,-334.0,-29.0,-24.0,-18.0
SVK,Slovak Republic,0.0,2313.0,237.0,-423.0,303.0,494.0
SVN,Slovenia,0.0,9454.0,-468.0,96.0,276.0,269.0
SWE,Sweden,109663.0,199187.0,157202.0,74840.0,82604.0,169504.0
SWZ,Swaziland,42074.0,697.0,674.0,747.0,723.0,476.0
SYR,Syrian Arab Republic,282708.0,365536.0,385118.0,441736.0,1482990.0,-4292130.0
TCD,Chad,-184806.0,-59627.0,-37270.0,227012.0,294206.0,354600.0
TGO,Togo,3471.0,-82279.0,8207.0,-41820.0,-4279.0,13168.0
THA,Thailand,99801.0,106354.0,104748.0,116629.0,96319.0,108039.0
TJK,Tajikistan,0.0,-58336.0,-44576.0,-53735.0,2554.0,1175.0
TKM,Turkmenistan,0.0,23276.0,13888.0,11143.0,-676.0,-429.0
TLS,Timor-Leste,0.0,0.0,-122202.0,-248.0,-7.0,-20.0
TTO,Trinidad and Tobago,-1.0,-14.0,-24.0,-63.0,-226.0,-256.0
TUN,Tunisia,-12.0,-134.0,-771.0,-3042.0,-2085.0,-902.0
TUR,Turkey,22492.0,-32025.0,-44052.0,-168168.0,-136762.0,2481794.0
TZA,Tanzania,265176.0,829603.0,680549.0,547275.0,108142.0,211025.0
UGA,Uganda,86898.0,205184.0,204208.0,223031.0,129360.0,470871.0
UKR,Ukraine,0.0,3492.0,-16361.0,-81882.0,-22089.0,-318145.0
URY,Uruguay,-755.0,-130.0,28.0,10.0,3.0,210.0
USA,United States,464886.0,623049.0,508046.0,378657.0,261548.0,268370.0
UZB,Uzbekistan,0.0,2484.0,34722.0,35627.0,-8529.0,-4099.0
VEN,"Venezuela, RB",1750.0,1137.0,-339.0,-2182.0,194846.0,166300.0
VNM,Vietnam,-474879.0,-509141.0,-354813.0,-355911.0,-336770.0,-313155.0
VUT,Vanuatu,0.0,0.0,0.0,0.0,3.0,-1.0
YEM,"Yemen, Rep.",2930.0,53084.0,58432.0,80612.0,188016.0,251276.0
ZAF,South Africa,-14783.0,100920.0,14895.0,29446.0,57519.0,121195.0
ZMB,Zambia,138048.0,129945.0,250842.0,155567.0,47629.0,26103.0
ZWE,Zimbabwe,190946.0,478.0,4018.0,2599.0,-19654.0,-14394.0
